name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,intersection_id,poi_id,notes
,0,174682032,,,,,,,-114.608967,35.0934173,,,
,1,174682038,,,,,,,-114.6080829,35.0919773,,,
,2,174682042,,,,,,,-114.6074583,35.091367,,,
,3,174682651,turning_circle,,,,,,-114.61636,35.0961771,,,
,4,174682654,,,,,,,-114.616588,35.0966294,,,
,5,174682659,,,,,,,-114.6170667,35.0971268,,,
,6,174682662,,,,,,,-114.6186826,35.0975778,,,
,7,174683165,,,,,,,-114.6355028,35.0949431,,,
,8,174683168,,,,,,,-114.6353471,35.0948929,,,
,9,2687513477,turning_circle,,,,,,-114.5681781,35.0491741,,,
,10,174690227,,,,,,,-114.5670288,35.0495162,,,
,11,174698033,,,,,,,-114.6143765,35.1064287,,,
,12,174698037,,,,,,,-114.6143981,35.1072749,,,
,13,174698039,,,,,,,-114.6144006,35.1079722,,,
,14,174706693,,,,,,,-114.5835203,35.0499808,,,
,15,174706699,,,,,,,-114.5835737,35.050351,,,
,16,174718388,,,,,,,-114.6041861,35.040788,,,
,17,174718391,,,,,,,-114.6022337,35.0406389,,,
,18,174723553,,,,,,,-114.6138743,35.09803,,,
,19,174723555,,,,,,,-114.6137253,35.0980732,,,
,20,174732735,,,,,,,-114.5729401,35.1274875,,,
,21,174732738,,,,,,,-114.5729314,35.1271149,,,
,22,174732741,,,,,,,-114.5729258,35.126196,,,
,23,174732749,,,,,,,-114.5727634,35.1280421,,,
,24,889541157,,,,,,,-114.5727653,35.1277734,,,
,25,1776601448,,,,,,,-114.615376,35.0856241,,,
,26,2688395468,,,,,,,-114.6189353,35.0903948,,,
,27,9348149125,,,,,,,-114.6189356,35.090474,,,
,28,174766399,,,,,,,-114.569364,35.0636131,,,
,29,2687514123,,,,,,,-114.5686249,35.0637293,,,
,30,174768067,,,,,,,-114.5711143,35.1431101,,,
,31,174768070,,,,,,,-114.5720088,35.1432027,,,
,32,174768174,,,,,,,-114.571066,35.1433691,,,
,33,3703109369,,,,,,,-114.572372,35.1435397,,,
,34,174776082,,,,,,,-114.6003176,35.1183426,,,
,35,174776085,turning_circle,,,,,,-114.5999675,35.1181779,,,
,36,174776206,,,,,,,-114.5951657,35.1076336,,,
,37,174776208,turning_circle,,,,,,-114.5953735,35.1074609,,,
,38,174804017,,,,,,,-114.5717042,35.1014857,,,
,39,174804019,,,,,,,-114.5698722,35.1014767,,,
,40,174814563,,,,,,,-114.6031491,35.0911171,,,
,41,9238248770,,,,,,,-114.6029913,35.0901322,,,
,42,174815683,,,,,,,-114.5628668,35.146634,,,
,43,1992613157,,,,,,,-114.5673712,35.1473459,,,
,44,174828183,,,,,,,-114.5672313,35.1849173,,,
,45,2468401682,,,,,,,-114.5666515,35.1850278,,,
,46,174832069,,,,,,,-114.5577803,35.1654554,,,
,47,174832087,,,,,,,-114.5605043,35.1423812,,,
,48,174866489,,,,,,,-114.5470291,35.1765408,,,
